NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
7;0;1;2:23.194;0;;1:08.836;0;37.832;0;36.526;0;86.8;2:23.194;10:32;1:08.836;0:37.832;0:36.526;;Jérome d'Ambrosio ;0:00:31.761;
7;0;2;1:52.849;0;;40.017;0;36.714;0;36.118;0;110.2;4:16.043;10:34;0:40.017;0:36.714;0:36.118;;Jérome d'Ambrosio ;;
7;0;3;7:16.744;0;B;40.297;0;37.095;0;5:59.352;0;28.5;11:32.787;10:41;0:40.297;0:37.095;5:59.352;;Jérome d'Ambrosio ;;
7;0;4;2:36.791;0;;1:03.570;0;49.321;0;43.900;0;79.3;14:09.578;10:44;1:03.570;0:49.321;0:43.900;;Jérome d'Ambrosio ;0:05:47.035;
7;0;5;1:43.291;0;;36.843;0;33.777;0;32.671;0;120.3;15:52.869;10:45;0:36.843;0:33.777;0:32.671;;Jérome d'Ambrosio ;;
7;0;6;2:58.365;0;;55.305;0;1:02.517;0;1:00.543;0;69.7;18:51.234;10:48;0:55.305;1:02.517;1:00.543;;Jérome d'Ambrosio ;;
7;0;7;1:42.874;0;;36.333;0;33.658;2;32.883;0;120.8;20:34.108;10:50;0:36.333;0:33.658;0:32.883;;Jérome d'Ambrosio ;;
7;0;8;2:36.728;0;;54.888;0;53.247;0;48.593;0;79.3;23:10.836;10:53;0:54.888;0:53.247;0:48.593;;Jérome d'Ambrosio ;;
7;0;9;1:42.720;2;;36.057;2;34.205;0;32.458;2;121.0;24:53.556;10:54;0:36.057;0:34.205;0:32.458;;Jérome d'Ambrosio ;;
77;0;1;2:39.707;0;;1:20.097;0;41.513;0;38.097;0;77.8;2:39.707;10:32;1:20.097;0:41.513;0:38.097;;Katherine Legge;0:00:40.944;
77;0;2;1:56.170;0;;39.361;0;38.405;0;38.404;0;107.0;4:35.877;10:34;0:39.361;0:38.405;0:38.404;;Katherine Legge;;
77;0;3;1:46.663;0;;37.987;0;34.695;0;33.981;2;116.5;6:22.540;10:36;0:37.987;0:34.695;0:33.981;;Katherine Legge;;
77;0;4;9:45.562;0;B;42.000;0;45.949;0;8:17.613;0;21.2;16:08.102;10:46;0:42.000;0:45.949;8:17.613;;Katherine Legge;;
77;0;5;2:19.919;0;;1:00.494;0;39.646;0;39.779;0;88.8;18:28.021;10:48;1:00.494;0:39.646;0:39.779;;Katherine Legge;0:08:03.330;
77;0;6;1:59.876;0;;35.977;2;40.190;0;43.709;0;103.7;20:27.897;10:50;0:35.977;0:40.190;0:43.709;;Katherine Legge;;
77;0;7;1:46.171;2;;37.507;0;34.680;2;33.984;0;117.1;22:14.068;10:52;0:37.507;0:34.680;0:33.984;;Katherine Legge;;
8;0;1;3:48.324;0;;2:06.666;0;52.891;0;48.767;0;54.4;3:48.324;10:33;2:06.666;0:52.891;0:48.767;;Nicolas Prost;0:01:20.082;
8;0;2;1:42.934;2;;36.656;0;33.290;2;32.988;2;120.8;5:31.258;10:35;0:36.656;0:33.290;0:32.988;;Nicolas Prost;;
8;0;3;2:47.437;0;;53.227;0;55.419;0;58.791;0;74.2;8:18.695;10:38;0:53.227;0:55.419;0:58.791;;Nicolas Prost;;
8;0;4;5:34.518;0;B;48.334;0;43.242;0;4:02.942;0;37.2;13:53.213;10:43;0:48.334;0:43.242;4:02.942;;Nicolas Prost;;
8;0;5;2:07.208;0;;57.593;0;35.192;0;34.423;0;97.7;16:00.421;10:46;0:57.593;0:35.192;0:34.423;;Nicolas Prost;0:03:48.033;
8;0;6;5:25.076;0;B;37.998;0;35.243;0;4:11.835;0;38.2;21:25.497;10:51;0:37.998;0:35.243;4:11.835;;Nicolas Prost;;
8;0;7;2:49.001;0;;1:06.189;0;52.042;0;50.770;0;73.6;24:14.498;10:54;1:06.189;0:52.042;0:50.770;;Nicolas Prost;0:03:58.273;
8;0;8;1:43.386;0;;36.505;2;33.609;0;33.272;0;120.2;25:57.884;10:55;0:36.505;0:33.609;0:33.272;;Nicolas Prost;;
88;0;1;3:57.563;0;;2:18.404;0;50.512;0;48.647;0;52.3;3:57.563;10:33;2:18.404;0:50.512;0:48.647;;Ho-Pin Tung;0:01:28.192;
88;0;2;1:45.002;0;;36.623;0;33.934;0;34.445;0;118.4;5:42.565;10:35;0:36.623;0:33.934;0:34.445;;Ho-Pin Tung;;
88;0;3;1:49.084;0;;37.142;0;37.503;0;34.439;0;114.0;7:31.649;10:37;0:37.142;0:37.503;0:34.439;;Ho-Pin Tung;;
88;0;4;6:26.587;0;B;53.349;0;50.463;0;4:42.775;0;32.2;13:58.236;10:43;0:53.349;0:50.463;4:42.775;;Ho-Pin Tung;;
88;0;5;3:16.712;0;;1:11.589;0;59.596;0;1:05.527;0;63.2;17:14.948;10:47;1:11.589;0:59.596;1:05.527;;Ho-Pin Tung;0:04:27.717;
88;0;6;2:28.795;0;;36.413;0;54.689;0;57.693;0;83.5;19:43.743;10:49;0:36.413;0:54.689;0:57.693;;Ho-Pin Tung;;
88;0;7;1:41.824;2;;36.140;2;32.972;4;32.712;2;122.1;21:25.567;10:51;0:36.140;0:32.972;0:32.712;;Ho-Pin Tung;;
88;0;8;2:42.271;0;;58.499;0;54.651;0;49.121;0;76.6;24:07.838;10:54;0:58.499;0:54.651;0:49.121;;Ho-Pin Tung;;
9;0;1;3:16.523;0;;1:38.070;0;51.512;2;46.941;2;63.3;3:16.523;10:33;1:38.070;0:51.512;0:46.941;;Sebastien Buemi;0:00:54.389;
9;0;2;2:24.162;2;;36.363;0;52.709;0;55.090;0;86.2;5:40.685;10:35;0:36.363;0:52.709;0:55.090;;Sebastien Buemi;;
99;0;1;2:31.681;0;;1:16.233;0;37.541;0;37.907;0;82.0;2:31.681;10:32;1:16.233;0:37.541;0:37.907;;Nelson Piquet JR;0:00:39.902;
99;0;2;1:48.775;0;;37.679;0;35.650;0;35.446;0;114.3;4:20.456;10:34;0:37.679;0:35.650;0:35.446;;Nelson Piquet JR;;
99;0;3;1:43.962;0;;36.570;0;33.769;0;33.623;0;119.6;6:04.418;10:36;0:36.570;0:33.769;0:33.623;;Nelson Piquet JR;;
99;0;4;2:58.601;0;;54.512;0;1:08.504;0;55.585;0;69.6;9:03.019;10:39;0:54.512;1:08.504;0:55.585;;Nelson Piquet JR;;
99;0;5;2:37.242;0;;56.158;0;52.993;0;48.091;0;79.1;11:40.261;10:41;0:56.158;0:52.993;0:48.091;;Nelson Piquet JR;;
99;0;6;1:42.788;2;;36.464;0;33.381;0;32.943;2;120.9;13:23.049;10:43;0:36.464;0:33.381;0:32.943;;Nelson Piquet JR;;
99;0;7;4:22.532;0;B;36.862;0;33.801;0;3:11.869;0;47.3;17:45.581;10:47;0:36.862;0:33.801;3:11.869;;Nelson Piquet JR;;
99;0;8;2:36.086;0;;1:08.400;0;46.608;0;41.078;0;79.6;20:21.667;10:50;1:08.400;0:46.608;0:41.078;;Nelson Piquet JR;0:03:06.202;
99;0;9;2:16.936;0;;41.324;0;49.368;0;46.244;0;90.8;22:38.603;10:52;0:41.324;0:49.368;0:46.244;;Nelson Piquet JR;;
99;0;10;2:02.563;0;;36.214;2;32.973;2;53.376;0;101.4;24:41.166;10:54;0:36.214;0:32.973;0:53.376;;Nelson Piquet JR;;
