,Unnamed: 0,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
410,96,7,3,1:19.124,2,108.0,5:34.517,2020-11-10 11:25:34.517,Jérôme D'AMBROSIO,,,3,DRAGON,,22.759266666666665,23.3333,0.7072866666666666,217.0
411,97,18,1,1:43.457,0,48.6,1:43.457,2020-11-10 11:31:43.457,André LOTTERER,0:00:16.074,,4,TECHEETAH,,22.8333,23.3333,6.3656,214.0
412,98,18,2,1:26.272,0,99.0,3:09.729,2020-11-10 11:33:09.729,André LOTTERER,,,4,TECHEETAH,,,,,
413,99,18,3,1:18.315,3,109.1,4:28.044,2020-11-10 11:34:28.044,André LOTTERER,,,4,TECHEETAH,,22.8333,23.3333,3.7132650000000003,226.0
414,100,19,1,1:33.958,0,53.5,1:33.958,2020-11-10 11:31:33.958,Felix ROSENQVIST,0:00:06.407,,4,Mahindra Racing,,22.8333,23.3333,6.3656,214.0
415,101,19,2,1:19.719,0,107.2,2:53.677,2020-11-10 11:32:53.677,Felix ROSENQVIST,,,4,Mahindra Racing,,,,,
416,102,19,3,1:18.828,2,108.4,4:12.505,2020-11-10 11:34:12.505,Felix ROSENQVIST,,,4,Mahindra Racing,,22.8333,23.3333,3.7132650000000003,226.0
417,103,20,1,1:49.635,0,45.8,1:49.635,2020-11-10 11:31:49.635,Mitch EVANS,0:00:13.851,,4,Panasonic Jaguar Racing,,22.8333,23.3333,6.3656,214.0
418,104,20,2,1:23.661,0,102.1,3:13.296,2020-11-10 11:33:13.296,Mitch EVANS,,,4,Panasonic Jaguar Racing,,,,,
419,105,20,3,1:18.580,2,108.7,4:31.876,2020-11-10 11:34:31.876,Mitch EVANS,,,4,Panasonic Jaguar Racing,,22.8333,23.3333,3.7132650000000003,226.0
420,106,23,1,1:39.236,0,50.6,1:39.236,2020-11-10 11:31:39.236,Nick HEIDFELD,0:00:07.918,,4,Mahindra Racing,,22.8333,23.3333,6.3656,214.0
421,107,23,2,1:20.290,0,106.4,2:59.526,2020-11-10 11:32:59.526,Nick HEIDFELD,,,4,Mahindra Racing,,,,,
422,108,23,3,1:19.168,2,107.9,4:18.694,2020-11-10 11:34:18.694,Nick HEIDFELD,,,4,Mahindra Racing,,22.8333,23.3333,3.7132650000000003,226.0
423,109,3,1,1:55.342,0,43.6,1:55.342,2020-11-10 11:31:55.342,Nelson PIQUET,0:00:22.992,,4,Panasonic Jaguar Racing,,22.8333,23.3333,6.3656,214.0
424,110,3,2,1:21.092,0,105.3,3:16.434,2020-11-10 11:33:16.434,Nelson PIQUET,,,4,Panasonic Jaguar Racing,,,,,
425,111,3,3,1:18.704,2,108.5,4:35.138,2020-11-10 11:34:35.138,Nelson PIQUET,,,4,Panasonic Jaguar Racing,,22.8333,23.3333,3.7132650000000003,226.0
