,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
47,23,3,1:08.325,3,120.0,6:44.626,2020-11-10 12:36:44.626,Nick HEIDFELD,,,4,Mahindra Racing,MAHINDRA,20.75,47.7778,8.04672,119.0
48,33,1,2:42.434,0,50.5,2:42.434,2020-11-10 12:32:42.434,Stéphane SARRAZIN,0:01:18.275,,4,TECHEETAH,TECHEETAH,20.7778,47.7778,3.21869,59.0
49,33,2,1:15.491,0,108.6,3:57.925,2020-11-10 12:33:57.925,Stéphane SARRAZIN,,,4,TECHEETAH,TECHEETAH,,,,
50,33,3,1:08.890,2,119.0,5:06.815,2020-11-10 12:35:06.815,Stéphane SARRAZIN,,,4,TECHEETAH,TECHEETAH,,,,
51,4,1,4:03.130,0,33.7,4:03.130,2020-11-10 12:34:03.130,Tom DILLMANN,0:02:41.078,,4,Venturi Formula E Team,VENTURI,20.7778,47.7778,9.65606,5.0
52,4,2,1:11.878,0,114.0,5:15.008,2020-11-10 12:35:15.008,Tom DILLMANN,,,4,Venturi Formula E Team,VENTURI,,,,
53,4,3,1:09.214,2,118.4,6:24.222,2020-11-10 12:36:24.222,Tom DILLMANN,,,4,Venturi Formula E Team,VENTURI,20.7222,47.7778,6.43738,233.0
54,88,1,2:30.266,0,54.6,2:30.266,2020-11-10 12:32:30.266,Oliver TURVEY,0:01:05.642,,4,NEXTEV NIO,NEXTEV,20.7778,47.7778,3.21869,59.0
55,88,2,1:19.580,0,103.0,3:49.846,2020-11-10 12:33:49.846,Oliver TURVEY,,,4,NEXTEV NIO,NEXTEV,,,,
56,88,3,1:08.607,2,119.5,4:58.453,2020-11-10 12:34:58.453,Oliver TURVEY,,,4,NEXTEV NIO,NEXTEV,,,,
57,9,1,1:26.763,0,94.5,1:26.763,2020-11-10 12:31:26.763,Sébastien BUEMI,0:00:07.265,,4,Renault e.dams,RENAULT,20.7778,47.7778,3.21869,43.0
58,9,2,1:09.010,2,118.8,2:35.773,2020-11-10 12:32:35.773,Sébastien BUEMI,,,4,Renault e.dams,RENAULT,,,,
59,19,1,4:10.661,0,32.7,4:10.661,2020-11-10 12:04:10.661,Felix ROSENQVIST,0:02:40.201,,1,Mahindra Racing,MAHINDRA,25.2778,53.8889,6.43738,184.0
60,19,2,1:20.322,0,102.1,5:30.983,2020-11-10 12:05:30.983,Felix ROSENQVIST,,,1,Mahindra Racing,MAHINDRA,,,,
